id,name,position,club,value,points
3,Grzegorz Sandomierski ,1,4,1.8,42
5,Adam Wilk ,1,2,0.8,0
10,Kamil Pestka ,2,2,1.8,48
14,Jakub Wojcicki ,2,18,1.7,17
20,Damian Dabrowski ,3,11,2.0,40
22,Radoslaw Kanach ,3,2,0.9,3
23,Karol Niemczycki ,1,2,1.6,25
37,Damian Jakubik ,2,12,1.8,56
39,Messias Leandro ,2,3,1.7,31
45,Szymon Drewniak ,3,3,1.6,25
53,Bartosz Spiaczka ,4,3,2.0,67
57,Damian Weglarz ,1,17,1.6,0
63,Pawel Olszewski ,2,5,1.5,0
69,Piotr Tomasik ,2,17,1.8,49
71,Fedor Cernych ,3,5,2.0,58
79,Pawel Koncewicz-Zylka ,2,16,0.5,0
81,Przemyslaw Mystkowski ,3,5,1.6,14
86,Taras Romanczuk ,3,5,1.8,57
88,Dawid Szymonowicz ,2,15,1.6,16
96,Maciej Gostomski ,1,3,1.7,42
107,Bartosz Rymaniak ,2,3,1.7,26
111,Marcin Cebula ,3,13,1.8,26
128,Lukasz Sekulski ,4,17,2.0,60
130,Jasmin Buric ,1,18,1.8,0
133,Matus Putnocky ,1,14,1.7,11
145,Maciej Gajos ,3,7,1.9,60
154,Lukasz Tralka ,3,15,1.8,30
159,Lukasz Budzilek ,1,1,1.5,8
163,Adam Chrzanowski ,2,17,1.7,0
166,Rafal Janicki ,2,4,1.8,46
167,Mario Maloca ,2,7,1.8,50
168,Pawel Stolarski ,2,11,1.7,40
171,Michal Chrapek ,3,10,1.9,63
172,Flavio Paixao ,4,7,2.5,85
179,Michal Mak ,3,3,1.7,29
184,Rafal Wolski ,3,17,1.8,68
201,Michal Pazdan ,2,5,1.7,36
202,Jakub Rzezniczak ,2,17,1.6,39
209,Tomasz Jodlowiec ,3,10,1.7,8
210,Michal Kopczynski ,3,15,1.6,25
211,Michal Kucharczyk ,3,11,2.4,57
224,Jakub Szmatula ,1,10,1.6,0
231,Tomasz Mokwa ,2,10,1.5,4
239,Marcin Flis ,2,9,1.6,37
243,Mateusz Mak ,3,9,2.2,95
244,Radoslaw Murawski ,3,6,1.8,27
245,Igor Sapala ,3,13,1.8,6
248,Sasa Zivec ,3,18,1.9,39
256,Jakub Czerwinski ,2,10,2.0,39
260,Hubert Matynia ,2,11,1.8,2
269,Kamil Drygas ,3,11,2.0,39
271,Dawid Kort ,3,9,1.6,16
272,Mateusz Matras ,2,9,1.8,51
279,Lukasz Zwolinski ,4,7,2.0,63
282,Gonçalo Silva ,2,12,1.7,8
289,Przemyslaw Bargiel ,3,14,0.8,0
293,Patryk Lipski ,3,10,1.7,29
299,Maciej Urbanczyk ,3,9,1.5,44
322,Robert Pich ,3,14,2.1,68
334,Artem Putiwcew ,2,1,1.6,10
339,Vlastimir Jovanovic ,3,1,1.3,1
340,Mateusz Kupczak ,3,15,1.8,32
344,Samuel Stefanik ,3,1,1.8,45
346,Vladislavs Gutkovskis ,4,13,2.1,56
351,Michal Buchalik ,1,7,1.6,0
351,Michal Buchalik ,1,16,1.6,0
361,Rafal Pietrzak ,2,7,1.8,31
362,Maciej Sadlok ,2,16,1.8,37
371,Krzysztof Maczynski ,3,14,2.0,44
378,Zdeněk Ondrasek ,4,16,1.9,0
382,Dominik Hladun ,1,18,1.7,54
386,Daniel Dziwniel ,2,3,1.6,11
391,Damian Zbozien ,2,17,1.6,20
395,Jaroslaw Kubicki ,3,7,1.8,54
412,Pavels Steinbors ,1,5,1.7,23
429,Michal Nalepa ,3,5,1.8,16
431,Mateusz Szwoch ,3,17,2.0,64
432,Grzegorz Tomasiewicz ,3,9,2.1,82
450,Dominik Furman ,3,17,1.9,20
461,Piotr Wlazlo ,3,1,1.8,59
480,Bartosz Nowak ,3,4,2.1,80
491,Mateusz Wieteska ,2,8,1.9,37
503,Roman Gergel ,3,1,1.8,27
508,Cornel Rapa ,2,2,1.9,60
514,Lukasz Bejger ,2,14,1.6,26
531,Jakub Zubrowski ,3,18,1.7,22
553,Jakub Bartkowski ,2,11,2.0,59
558,Dusan Kuciak ,1,7,1.9,36
563,Marcin Wasielewski ,2,1,1.6,18
574,Bartosz Slisz ,3,8,1.8,38
580,Sebastian Kowalczyk ,3,11,2.3,81
583,Adrian Lyszczarz ,3,14,1.5,32
625,Filip Piszczek ,4,2,1.6,23
